requirement_id,subsystem,semantic_closure_status,contradiction_status,duplication_status,execution_contract_status,invariant_status,worked_example_status,decision_status,implementation_entry_status,intended_module_area,first_code_slice,proof_expectation,test_stub_status,snapshot_status,local_guardrail_status,coverage_status,implementation_progress_note,last_aligned_package,last_aligned_date
UDQ-REQ-SEQ-002,SEQ,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,DEFERRED,DEFERRED,src/universaldaq/sequences,later-slice,"event log, state-transition timeline",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,DEFERRED,,,
UDQ-REQ-HIS-001,HIS,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/historian,first-bounded-code-sprint,"evidence bundle, historian export",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-HIS-002,HIS,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/historian,first-bounded-code-sprint,"review screenshots, interaction capture",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-REM-001,REM,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,BLOCKING,BLOCKED_BY_DECISION,src/universaldaq/remote,blocked-post-baseline,remote session audit trail,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,BLOCKED_BY_DECISION,,,
UDQ-REQ-REM-002,REM,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,BLOCKING,BLOCKED_BY_DECISION,src/universaldaq/remote,blocked-post-baseline,"command/event log, UI indicators",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,BLOCKED_BY_DECISION,,,
UDQ-REQ-EVT-001,EVT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/events,first-bounded-code-sprint,"alarm timeline export, screenshots",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-EVT-002,EVT,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/events,first-bounded-code-sprint,"event log, acknowledgment record",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-DIAG-001,DIAG,CLOSED,CLOSED,CLASSIFIED,PLANNED,DEFINED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/diagnostics,later-slice,"diagnostics export, UI status states",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-DIAG-002,DIAG,CLOSED,CLOSED,CLASSIFIED,PLANNED,DEFINED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/diagnostics,later-slice,"watchdog event stream, diagnostics report",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-PROF-001,PROF,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/profiles,first-bounded-code-sprint,"restore log, screenshots",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-PROF-002,PROF,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/profiles,first-bounded-code-sprint,"profile export, interaction trace",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-DEV-001,DEV,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"capability export, diagnostics inventory",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-DEV-002,DEV,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"screenshots, role-based walkthrough",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-EXP-001,EXP,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/exports,later-slice,evidence bundle manifest,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-EXP-002,EXP,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/exports,later-slice,"export package, summary + raw attachments",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,,,
UDQ-REQ-SEC-001,SEC,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,CONTRACT_DEFINED,src/universaldaq/security + src/universaldaq/common,follow-on-governed-slice,"denial events, role policy export",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,CONTRACT_DEFINED,,,
UDQ-REQ-SEC-002,SEC,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,CONTRACT_DEFINED,src/universaldaq/security + src/universaldaq/events,follow-on-governed-slice,command authorization log,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,CONTRACT_DEFINED,,,
UDQ-REQ-UI-001,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/app + src/universaldaq/ui,live-runtime-integration-and-safe-control-posture-foundations,"persistent info bar, dock layout preference, launchable shell foundation summary",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"The visible shell now carries a launchable main window, persistent top bar, standard menus, right-default docking, and explicit runtime/control posture surfaces.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-UI-002,UI,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/ui,later-slice,UI map screenshots,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,"The shell now exposes standard desktop menus plus visible workspace navigation for Operate, Logic Designer, Session Review, and System.",UDQ-PKG-20260328-VISIBLE-OPERATOR-SHELL-AND-DEMO-EMBODIMENT-R01,2026-03-28
UDQ-REQ-UI-003,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/ui + src/universaldaq/historian,live-runtime-integration-and-safe-control-posture-foundations,"plot-anything lenses, saved setup/autosave preference seam, performance doctrine note",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"The Operate workspace now supports both User-Demo and one supported live-runtime path, with curated add-trace flow, visible live graph proof, and bounded pyqtgraph updates.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-UI-004,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/ui + src/universaldaq/historian + src/universaldaq/events,live-runtime-integration-and-safe-control-posture-foundations,"alarm overlay policy, legend-state seam, severity-aware trace presentation model",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,Trace presentation remains persistent and alarm-aware while the shell now overlays runtime-source truth and guarded-write state without collapsing selected-trace styling.,UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-UI-005,UI,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/ui,live-runtime-integration-and-safe-control-posture-foundations,proof bundle,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,"Visible shell settings now persist layout, autosave, graph setups, and the last selected runtime posture without restoring live truth as if current.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-UI-006,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/ui + src/universaldaq/common,live-runtime-integration-and-safe-control-posture-foundations,"persistent info bar truth labels, demo/runtime posture labels, trace alarm overlay doctrine",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,"The persistent information bar now reports runtime mode, connection state, control posture, alarm posture, selected signal, and freshness across both demo and live paths.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-UI-007,UI,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/ui,live-runtime-integration-and-safe-control-posture-foundations,"logic-designer user-demo scenario, workspace split, pseudo-live monitoring summary",NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,SEMANTICALLY_CLOSED,"The Logic Designer workspace is now posture-aware, shows live-versus-demo watch context, and keeps pseudo/live sinks visibly distinct while safe apply remains deferred.",UDQ-PKG-20260328-LIVE-RUNTIME-INTEGRATION-AND-SAFE-CONTROL-POSTURE-FOUNDATIONS-R01,2026-03-28
UDQ-REQ-AUD-001,AUD,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"audit report, manifest",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-AUD-002,AUD,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,scan report,IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-AUD-003,AUD,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"audit report, governed registers",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-REL-001,REL,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"manifest, release notes",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-QUAL-001,QUAL,CLOSED,CLOSED,CLASSIFIED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,proof/bundles,follow-on-governed-slice,proof bundle,NOT_APPLICABLE,NOT_GENERATED,NOT_APPLICABLE,CONTRACT_DEFINED,,,
UDQ-REQ-GOV-001,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"registry artifacts, audit report",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-GOV-002,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"term-usage matrix, audit report",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-GOV-003,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"contradiction register, consistency report",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-GOV-004,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"duplication register, audit report",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
UDQ-REQ-IMPL-001,IMPL,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"module-boundary map, audit report",IMPLEMENTED,GENERATED,PRESENT,READY_FOR_IMPLEMENTATION,,,
