requirement_id,title,subsystem,governed_by,semantic_tags,readiness_status,open_decision_ids,worked_example_ids,expected_invariant_ids,expected_proof_type,intended_module_area,prohibited_conflations,implementation_notes,entry_gate_status,linked_test_ids,snapshot_status,scaffold_status
UDQ-REQ-PROF-001,"Profiles, autosave, and restore shall preserve user/session continuity without silently implying restored live machine state.",Profiles,UDQ-PROF-SPEC-001 | UDQ-UI-MOD-001 | UDQ-UI-SPEC-000 | UDQ-UI-SPEC-001,first_slice | profile | restore | workspace_state,READY_FOR_IMPLEMENTATION,,UDQ-EXM-003,UDQ-INV-STATE-002 | UDQ-INV-TRANS-002 | UDQ-INV-EVID-003,"restore log, screenshots",src/universaldaq/profiles,UI state != command authority | workspace/profile restore != machine state restore,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-002 | UDQ-TST-SCN-003 | UDQ-TST-INV-002,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-PROF-002,"Layout persistence and profile restore shall preserve workspace arrangements, subject to current live capability and authorization checks.",Profiles,UDQ-PROF-SPEC-001 | UDQ-UI-SPEC-001 | UDQ-SEC-SPEC-001,first_slice | profile | layout | authorization_boundary,READY_FOR_IMPLEMENTATION,,UDQ-EXM-003,UDQ-INV-STATE-002 | UDQ-INV-TRANS-002,"profile export, interaction trace",src/universaldaq/profiles,UI state != command authority | workspace/profile restore != machine state restore,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-002 | UDQ-TST-SCN-003 | UDQ-TST-INV-002,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-SEC-001,"Roles and permissions shall be backend-enforced, not merely UI-hidden.",Security,UDQ-SEC-SPEC-001 | UDQ-OUT-SPEC-001 | UDQ-UI-SPEC-002,follow_on | authorization | backend_enforcement,CONTRACT_DEFINED,,UDQ-EXM-001,UDQ-INV-STATE-004 | UDQ-INV-TRANS-001,"denial events, role policy export",src/universaldaq/security + src/universaldaq/common,authorization != UI enablement,Only the attribution and backend-vs-UI-boundary scaffolding is expected in the first code sprint; broad policy enforcement remains follow-on.,FOLLOW_ON_GOVERNED,UDQ-TST-CON-005 | UDQ-TST-SCN-001,NOT_INCLUDED,OUTSIDE_FIRST_SLICE
UDQ-REQ-SEC-002,"Command authorization decisions shall remain attributable, reviewable, and linked to session, actor, and target action.",Security,UDQ-SEC-SPEC-001 | UDQ-EVT-SPEC-001 | UDQ-HIS-SPEC-001,follow_on | authorization | evidence,CONTRACT_DEFINED,,UDQ-EXM-001 | UDQ-EXM-004,UDQ-INV-EVID-001,command authorization log,src/universaldaq/security + src/universaldaq/events,authorization != UI enablement,Attributable authorization decisions should have model and evidence hooks before broad enforcement surfaces are built.,FOLLOW_ON_GOVERNED,UDQ-TST-CON-005,NOT_INCLUDED,OUTSIDE_FIRST_SLICE
UDQ-REQ-UI-001,"The shell shall preserve a graph-dominant operating posture with dockable control surfaces, a persistent evidence spine, and recoverable workspace layout.",UI,UDQ-UI-ARCH-001 | UDQ-UI-SPEC-000 | UDQ-PROF-SPEC-001,first_slice | ui_shell | workspace_layout,READY_FOR_IMPLEMENTATION,,UDQ-EXM-003 | UDQ-EXM-005,UDQ-INV-STATE-003,"screenshots, profile restore evidence",src/universaldaq/app + src/universaldaq/ui,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-005,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-UI-003,"Graphing shall support live follow, sliding-window live view, whole-history review, explore mode, and explicit return-to-live behavior.",UI,UDQ-UI-SPEC-004 | UDQ-HIS-SPEC-001,first_slice | graph_modes | review,READY_FOR_IMPLEMENTATION,,UDQ-EXM-005,UDQ-INV-STATE-003 | UDQ-INV-TRANS-004,"screenshots, interaction trace",src/universaldaq/ui + src/universaldaq/historian,review/history/live-trace != live runtime state,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-004 | UDQ-TST-SCN-005 | UDQ-TST-INV-004,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-UI-004,"The graphing surface shall support event, alarm, command, rule, sequence, and other relevant evidence overlays where relationships matter.",UI,UDQ-UI-SPEC-004 | UDQ-HIS-SPEC-001 | UDQ-EVT-SPEC-001,first_slice | graph_overlays | evidence,READY_FOR_IMPLEMENTATION,,UDQ-EXM-004 | UDQ-EXM-005,UDQ-INV-EVID-004,"export capture, screenshots",src/universaldaq/ui + src/universaldaq/historian + src/universaldaq/events,review/history/live-trace != live runtime state,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-004 | UDQ-TST-SCN-005 | UDQ-TST-INV-004,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-UI-006,"Widget language shall consistently distinguish truth quality, authority source, draft/deployed state, requested/observed state, and protection/trip semantics.",UI,UDQ-UI-SPEC-002 | UDQ-UI-SPEC-004 | UDQ-UI-SPEC-006,first_slice | widget_language | health_state,READY_FOR_IMPLEMENTATION,,UDQ-EXM-005,UDQ-INV-STATE-003 | UDQ-INV-TIME-001,"screenshot set, style reference",src/universaldaq/ui + src/universaldaq/common,review/history/live-trace != live runtime state,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-CON-004 | UDQ-TST-SCN-005 | UDQ-TST-INV-004,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-AUD-001,Every send-out package shall be auditable by the package-root audit tool and governed package audit specification.,Audit,UDQ-AUD-SPEC-001 | UDQ-REL-SPEC-001,governance | audit | release,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"audit report, manifest",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-001 | UDQ-TST-META-002 | UDQ-TST-SMK-001,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-AUD-002,Draft-residue/anti-pattern scanning shall use rule-scoped allowed-pattern logic by document class and shall not permit structural-integrity waivers.,Audit,UDQ-AUD-SPEC-001 | UDQ-AUD-SPEC-002,governance | audit | quality,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,scan report,tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-003,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-AUD-003,"The package-root master auditor shall perform structure, semantic, contradiction, and duplication audits for hardening packages.",Audit,UDQ-AUD-SPEC-001,governance | audit | control_tower,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"audit report, governed registers",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-004,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-REL-001,"Every release package shall declare package ID, code baseline ID, document baseline ID, compatibility statement, included artifacts, and change summary.",Release,UDQ-REL-SPEC-001 | UDQ-GOV-SPEC-006,governance | release,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"manifest, release notes",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-005 | UDQ-TST-SMK-001,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-QUAL-001,Completion claims shall be supported by explicit proof bundles rather than narrative assertion alone.,Quality,UDQ-QUAL-DEF-001 | UDQ-QUAL-SPEC-002 | UDQ-PROOF-TPL-001,,CONTRACT_DEFINED,,,,proof bundle,proof/bundles,,Stay within the bounded first code sprint defined by the package.,FOLLOW_ON_GOVERNED,,NOT_INCLUDED,OUTSIDE_FIRST_SLICE
UDQ-REQ-GOV-001,"Controlled documents, requirement IDs, and cross-references shall remain machine-readable and internally consistent across the active corpus.",Governance,UDQ-GOV-SPEC-002 | UDQ-GOV-SPEC-003,governance | cross_reference | machine_readable,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"registry artifacts, audit report",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-001 | UDQ-TST-META-002 | UDQ-TST-SMK-002 | UDQ-TST-INV-005,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-GOV-002,"Every project-critical term shall have one canonical owner, declared alias policy, and governed anti-conflation treatment.",Governance,UDQ-GOV-GLO-001 | UDQ-GOV-STD-002,governance | terms | anti_conflation,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"term-usage matrix, audit report",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-003 | UDQ-TST-SMK-002,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-GOV-003,"Material contradictions and semantic ambiguities shall be registered, resolved, or explicitly elevated before downstream implementation relies on them.",Governance,UDQ-GOV-REG-001 | UDQ-GOV-SPEC-003,governance | contradictions,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"contradiction register, consistency report",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-004 | UDQ-TST-SMK-003,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-GOV-004,"Meaningful duplication in normative content shall be classified as intentional, governed boilerplate, shadow definition, or consolidation-required before release-candidate use.",Governance,UDQ-GOV-REG-002 | UDQ-GOV-SPEC-006,governance | duplication,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"duplication register, audit report",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-META-005,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
UDQ-REQ-IMPL-001,Future implementation packages shall be anchored to a governed file/module structure with declared boundary rules.,Implementation,UDQ-IMP-MAP-001 | UDQ-GOV-SPEC-004,governance | module_boundary | implementation_entry,READY_FOR_IMPLEMENTATION,,,UDQ-INV-EVID-006,"module-boundary map, audit report",tools/traceability + registries/active + audit_reports/active,,Stay within the bounded first code sprint defined by the package.,READY,UDQ-TST-SMK-003 | UDQ-TST-SMK-004,INCLUDED_IN_FIRST_SLICE_EXECUTION_CONTRACT,IMPLEMENTED
