document_id,title,revision,status,document_class,path,active_state,owner,depends_on
UDQ-EXM-SPEC-001,Canonical Worked Examples,r1,WIP,example_spec,docs/archive/UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-GLO-001 | UDQ-GOV-STD-002 | UDQ-OUT-SPEC-001 | UDQ-PROF-SPEC-001 | UDQ-UI-SPEC-004 | UDQ-EVT-SPEC-001
UDQ-EXM-SPEC-001,Canonical Worked Examples,r2,WIP,example_spec,docs/archive/UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r2__WIP.md,archive,UniversalDAQ,UDQ-GOV-GLO-001 | UDQ-GOV-SPEC-005 | UDQ-REQ-MAT-001
UDQ-EXP-SPEC-001,"Export, Review, and Evidence Bundle Specification",r0,WIP,unspecified,docs/active/UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,active,UniversalDAQ,UDQ-AUD-SPEC-001 | UDQ-GOV-STD-001 | UDQ-HIS-SPEC-001 | UDQ-REL-SPEC-001 | UDQ-SCM-STD-001
UDQ-GAP-RPT-001,Open Implementation Gaps,r11,WIP,gap_report,docs/active/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r11__WIP.md,active,UniversalDAQ,UDQ-ARCH-NAR-001 | UDQ-ARCH-NAR-002 | UDQ-REQ-MAT-001
UDQ-GAP-RPT-001,Open Implementation Gaps,r3,WIP,gap_report,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r3__WIP.md,archive,UniversalDAQ,UDQ-REQ-MAT-001 | UDQ-QUAL-DEF-001 | UDQ-QUAL-SPEC-002 | UDQ-AUD-SPEC-001 | UDQ-AUD-SPEC-002 | UDQ-SCM-STD-001
UDQ-GAP-RPT-001,Open Implementation Gaps,r4,WIP,gap_report,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r4__WIP.md,archive,UniversalDAQ,UDQ-GOV-RPT-001 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-IMP-PLAN-001
UDQ-GAP-RPT-001,Open Implementation Gaps,r5,WIP,gap_report,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r5__WIP.md,archive,UniversalDAQ,UDQ-IMP-PLAN-001 | UDQ-GOV-RPT-002 | UDQ-REQ-MAT-001
UDQ-GAP-RPT-001,Open Implementation Gaps,r6,WIP,gap_report,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r6__WIP.md,archive,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-REQ-MAT-001 | UDQ-GOV-RPT-002
UDQ-GAP-RPT-001,Open Implementation Gaps,r7,WIP,gap_report,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r7__WIP.md,archive,UniversalDAQ,UDQ-GOV-SOP-001 | UDQ-REQ-MAT-001 | UDQ-GOV-RPT-002 | UDQ-IMP-PLAN-001
UDQ-GAP-RPT-001,Open Implementation Gaps,r8,WIP,gap_report,docs/archive/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r8__WIP.md,archive,UniversalDAQ,UDQ-GOV-SOP-001 | UDQ-GOV-REG-003 | UDQ-REQ-MAT-001 | UDQ-IMP-PLAN-001
UDQ-GAP-TPL-001,Implementation Gap Assessment Template,r0,WIP,unspecified,docs/active/UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,active,UniversalDAQ,UDQ-GAP-RPT-001 | UDQ-QUAL-SPEC-002 | UDQ-GOV-SPEC-002
UDQ-GOV-GLO-001,Canonical Glossary and Ontology,r2,WIP,glossary,docs/active/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r2__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-002
UDQ-GOV-GLO-001,Canonical Glossary and Ontology,r0,WIP,glossary,docs/archive/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002
UDQ-GOV-GLO-001,Canonical Glossary and Ontology,r1,WIP,glossary,docs/archive/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-SPEC-002
UDQ-GOV-LOG-001,Controlled Document Index,r22,WIP,controlled_index,docs/active/UDQ-GOV-LOG-001__Controlled_Document_Index__r22__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006 | UDQ-IMP-PLAN-001
UDQ-GOV-LOG-001,Controlled Document Index,r14,WIP,controlled_index,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r14__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002
UDQ-GOV-LOG-001,Controlled Document Index,r15,WIP,controlled_index,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r15__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-STD-002
UDQ-GOV-LOG-001,Controlled Document Index,r16,WIP,controlled_index,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r16__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003
UDQ-GOV-LOG-001,Controlled Document Index,r17,WIP,controlled_index,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r17__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006
UDQ-GOV-LOG-001,Controlled Document Index,r18,WIP,controlled_index,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r18__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006 | UDQ-IMP-SPEC-002
UDQ-GOV-LOG-001,Controlled Document Index,r19,WIP,controlled_index,docs/archive/UDQ-GOV-LOG-001__Controlled_Document_Index__r19__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006 | UDQ-IMP-SPEC-002 | UDQ-GOV-SOP-001 | UDQ-IMP-PLAN-001
UDQ-GOV-MAP-001,Document Architecture and Dependency Map,r3,WIP,governance_map,docs/active/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r3__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-003 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006
UDQ-GOV-MAP-001,Document Architecture and Dependency Map,r0,WIP,governance-map,docs/archive/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-GLO-001
UDQ-GOV-MAP-001,Document Architecture and Dependency Map,r1,WIP,governance-map,docs/archive/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-SPEC-002 | UDQ-GOV-GLO-001
UDQ-GOV-MAP-001,Document Architecture and Dependency Map,r2,WIP,governance_map,docs/archive/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r2__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-IMP-MAP-001
UDQ-GOV-POL-002,README Control and Classification Policy,r0,WIP,governance_policy,docs/active/UDQ-GOV-POL-002__README_Control_and_Classification_Policy__r0__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002
UDQ-GOV-POL-003,Document Status Lifecycle Policy,r0,BASELINE,governance_policy,docs/active/UDQ-GOV-POL-003__Document_Status_Lifecycle_Policy__r0__BASELINE.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-POL-002
UDQ-GOV-REG-001,Contradiction and Reconciliation Register,r2,WIP,governance_register,docs/active/UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r2__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-002 | UDQ-GOV-GLO-001
UDQ-GOV-REG-001,Contradiction and Reconciliation Register,r0,WIP,governance_register,docs/archive/UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-002 | UDQ-GOV-GLO-001 | UDQ-GOV-RPT-001
UDQ-GOV-REG-002,Duplication and Consolidation Register,r1,WIP,governance_register,docs/active/UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r1__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-RPT-001 | UDQ-GOV-RPT-002
UDQ-GOV-REG-002,Duplication and Consolidation Register,r0,WIP,governance_register,docs/archive/UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-002 | UDQ-GOV-RPT-001
UDQ-GOV-REG-003,Documentation Update Debt Register,r3,WIP,governance_register,docs/active/UDQ-GOV-REG-003__Documentation_Update_Debt_Register__r3__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-LOG-001 | UDQ-GOV-SOP-001
UDQ-GOV-REG-003,Documentation Update Debt Register,r0,WIP,governance_register,docs/archive/UDQ-GOV-REG-003__Documentation_Update_Debt_Register__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-SOP-001 | UDQ-GOV-REG-001 | UDQ-GOV-RPT-001 | UDQ-GAP-RPT-001
UDQ-GOV-REG-003,Documentation Update Debt Register,r1,WIP,governance_register,docs/archive/UDQ-GOV-REG-003__Documentation_Update_Debt_Register__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-SOP-001 | UDQ-GOV-REG-001 | UDQ-GOV-RPT-001 | UDQ-GAP-RPT-001 | UDQ-GOV-WI-001
UDQ-GOV-RPT-001,Cross Document Consistency Assessment,r5,WIP,consistency_report,docs/active/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r5__WIP.md,active,UniversalDAQ,UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-006
UDQ-GOV-RPT-001,Cross-Document Consistency Assessment,r2,WIP,unspecified,docs/archive/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r2__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-MAP-001 | UDQ-GOV-GLO-001 | UDQ-GOV-LOG-001
UDQ-GOV-RPT-001,Cross-Document Consistency Assessment,r3,WIP,governance_report,docs/archive/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r3__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-SPEC-002 | UDQ-GOV-GLO-001 | UDQ-GOV-LOG-001 | UDQ-GOV-MAP-001 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002
UDQ-GOV-RPT-001,Cross Document Consistency Assessment,r4,WIP,governance_report,docs/archive/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r4__WIP.md,archive,UniversalDAQ,UDQ-GOV-GLO-001 | UDQ-GOV-STD-002 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-GOV-RPT-002
UDQ-GOV-RPT-002,Subsystem Reconciliation and Duplication Closure Assessment,r2,WIP,governance_report,docs/active/UDQ-GOV-RPT-002__Subsystem_Reconciliation_and_Duplication_Closure_Assessment__r2__WIP.md,active,UniversalDAQ,UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-REQ-MAT-001
UDQ-GOV-RPT-002,Subsystem Reconciliation and Duplication Closure Assessment,r0,WIP,governance_report,docs/archive/UDQ-GOV-RPT-002__Subsystem_Reconciliation_and_Duplication_Closure_Assessment__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-GLO-001 | UDQ-GOV-STD-002 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-REQ-MAT-001
UDQ-GOV-RPT-002,Subsystem Reconciliation and Duplication Closure Assessment,r1,WIP,governance_report,docs/archive/UDQ-GOV-RPT-002__Subsystem_Reconciliation_and_Duplication_Closure_Assessment__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-REG-001 | UDQ-GOV-REG-002 | UDQ-REQ-MAT-001 | UDQ-GOV-SPEC-003
UDQ-GOV-SOP-001,Controlled Document Update and Impact Process,r4,WIP,governance_sop,docs/active/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r4__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-SPEC-003 | UDQ-GOV-POL-002 | UDQ-GOV-REG-003 | UDQ-GOV-WI-001 | UDQ-GOV-TPL-002
UDQ-GOV-SOP-001,Controlled Document Update and Impact Process,r0,WIP,governance_process,docs/archive/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-REG-001 | UDQ-GOV-REG-002
UDQ-GOV-SOP-001,Controlled Document Update and Impact Process,r1,WIP,governance_sop,docs/archive/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-004 | UDQ-GOV-SPEC-006
UDQ-GOV-SOP-001,Controlled Document Update and Impact Process,r2,WIP,governance_sop,docs/archive/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r2__WIP.md,archive,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-004 | UDQ-GOV-SPEC-006 | UDQ-REQ-MAT-001 | UDQ-IMP-PLAN-001 | UDQ-GOV-POL-002
UDQ-GOV-SOP-001,Controlled Document Update and Impact Process,r3,WIP,governance_sop,docs/archive/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r3__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SPEC-002 | UDQ-GOV-SPEC-003 | UDQ-GOV-POL-002 | UDQ-GOV-REG-003
UDQ-GOV-SOP-002,Controlled Document Completeness and Recovery Process,r0,WIP,governance_sop,docs/active/UDQ-GOV-SOP-002__Controlled_Document_Completeness_and_Recovery_Process__r0__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-SOP-001 | UDQ-GOV-REG-003 | UDQ-GOV-WI-001
UDQ-GOV-SPEC-002,Machine Readable Document and Cross Reference Scheme,r4,WIP,governance_spec,docs/active/UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-AUD-SPEC-001 | UDQ-AUD-SPEC-002
UDQ-GOV-SPEC-003,Global Governance Model and Control Tower Specification,r1,WIP,governance_spec,docs/active/UDQ-GOV-SPEC-003__Global_Governance_Model_and_Control_Tower_Specification__r1__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-GLO-001 | UDQ-REQ-MAT-001
UDQ-GOV-SPEC-003,Global Governance Model and Control Tower Specification,r0,WIP,governance_spec,docs/archive/UDQ-GOV-SPEC-003__Global_Governance_Model_and_Control_Tower_Specification__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-STD-002 | UDQ-GOV-STD-003 | UDQ-GOV-GLO-001 | UDQ-GOV-MAP-001 | UDQ-REQ-MAT-001
UDQ-GOV-SPEC-004,Implementation Declaration and Traceability Specification,r2,WIP,governance_spec,docs/active/UDQ-GOV-SPEC-004__Implementation_Declaration_and_Traceability_Specification__r2__WIP.md,active,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-REQ-MAT-001 | UDQ-IMP-SPEC-002
UDQ-GOV-SPEC-004,Implementation Declaration and Traceability Specification,r0,WIP,governance_spec,docs/archive/UDQ-GOV-SPEC-004__Implementation_Declaration_and_Traceability_Specification__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-REQ-MAT-001 | UDQ-QUAL-SPEC-002 | UDQ-IMP-PLAN-001
UDQ-GOV-SPEC-004,Implementation Declaration and Traceability Specification,r1,WIP,governance_spec,docs/archive/UDQ-GOV-SPEC-004__Implementation_Declaration_and_Traceability_Specification__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-REQ-MAT-001 | UDQ-QUAL-SPEC-002
UDQ-GOV-SPEC-005,Runtime Conformance and Invariant Monitoring Specification,r2,WIP,governance_spec,docs/active/UDQ-GOV-SPEC-005__Runtime_Conformance_and_Invariant_Monitoring_Specification__r2__WIP.md,active,UniversalDAQ,UDQ-GOV-SPEC-004 | UDQ-REQ-MAT-001 | UDQ-EXM-SPEC-001 | UDQ-IMP-SPEC-002
UDQ-GOV-SPEC-005,Runtime Conformance and Invariant Monitoring Specification,r0,WIP,governance_spec,docs/archive/UDQ-GOV-SPEC-005__Runtime_Conformance_and_Invariant_Monitoring_Specification__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-GLO-001 | UDQ-GOV-SPEC-003 | UDQ-QUAL-SPEC-002 | UDQ-EXM-SPEC-001
UDQ-GOV-SPEC-005,Runtime Conformance and Invariant Monitoring Specification,r1,WIP,governance_spec,docs/archive/UDQ-GOV-SPEC-005__Runtime_Conformance_and_Invariant_Monitoring_Specification__r1__WIP.md,archive,UniversalDAQ,UDQ-GOV-GLO-001 | UDQ-OUT-SPEC-001 | UDQ-EVT-SPEC-001 | UDQ-PROF-SPEC-001 | UDQ-UI-SPEC-004
UDQ-GOV-SPEC-006,Executive Summary and Project Status Specification,r1,WIP,governance_spec,docs/active/UDQ-GOV-SPEC-006__Executive_Summary_and_Project_Status_Specification__r1__WIP.md,active,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-GOV-SPEC-004 | UDQ-GOV-SPEC-005 | UDQ-REL-SPEC-001
UDQ-GOV-SPEC-006,Executive Summary and Project Status Specification,r0,WIP,governance_spec,docs/archive/UDQ-GOV-SPEC-006__Executive_Summary_and_Project_Status_Specification__r0__WIP.md,archive,UniversalDAQ,UDQ-GOV-SPEC-003 | UDQ-GOV-LOG-001 | UDQ-REQ-MAT-001
UDQ-GOV-STD-001,Document Control Scheme,r3,WIP,unspecified,docs/active/UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,active,UniversalDAQ,
UDQ-GOV-STD-002,Semantic Precedence and Term Usage Standard,r0,WIP,governance_standard,docs/active/UDQ-GOV-STD-002__Semantic_Precedence_and_Term_Usage_Standard__r0__WIP.md,active,UniversalDAQ,UDQ-GOV-STD-001 | UDQ-GOV-GLO-001 | UDQ-GOV-MAP-001
