sprint_id,package_slug,title,status,phase_group,objective,preconditions,primary_outputs,source_surfaces,doc_surfaces,test_gate,risk_level,major_risks,mitigations,unlocks,blocked_by,non_goals,acceptance_summary
UDQ-SPRINT-10,20260515_11_deploy,Runtime logic deployment boundary,planned,logic_control,Live monitoring and governed command intents,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,critical,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-11,UDQ-SPRINT-09 | UDQ-SPRINT-11,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-11,20260515_12_outputs,Output authority and safe-state execution,planned,control,Safe writes and interlocked command authority,"Runtime state and controlled mapping boundary complete; output command semantics, interlocks, and safe-state rules are ready for implementation.","Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,critical,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-12,UDQ-SPRINT-02 | UDQ-SPRINT-06,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-12,20260515_13_sequences,Sequences and workflows,planned,control,Reviewable procedural automation,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-13,UDQ-SPRINT-11,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-13,20260515_14_modbus,Modbus support pack,planned,support_pack,Modbus TCP/RTU capability pack,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-14,UDQ-SPRINT-12,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-14,20260515_15_health,Diagnostics/watchdog/health dashboard,planned,diagnostics,Operator-visible degraded-condition posture,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,medium,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-15,UDQ-SPRINT-13,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-15,20260515_16_shell,UI shell polish and persistence,planned,ui,Durable bench-application experience,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,medium,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-16,UDQ-SPRINT-14,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-16,20260515_17_remote,Remote observation/review mode,planned,remote,Non-authoritative remote visibility,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-17,UDQ-SPRINT-15,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-17,20260515_18_hil,Hardware-in-loop validation suite,planned,validation,Real-device degraded-condition confidence,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,critical,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-18,UDQ-SPRINT-16,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-18,20260515_19_release,Packaging/installer/release governance,planned,release,Distributable release mechanics,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,medium,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,UDQ-SPRINT-19,UDQ-SPRINT-17,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
UDQ-SPRINT-19,20260515_20_rc,External review and release-candidate hardening,planned,release,Initial release-candidate closure,Prior prerequisite sprints complete; no critical open blocker against this capability boundary.,"Controlled docs, implementation/proof artifacts, focused validation summary, release notes update.",TBD by sprint plan; core remains device-agnostic and support-pack isolated.,"Roadmap, NEXT_ACTIONS, WORKPLAN_CURRENT_RUN, release notes, known limitations, affected subsystem specs.",Changed-area tests plus sprint-specific acceptance and package governance closeout.,high,Scope creep; feature loss; unclear authority boundary; stale docs; overbroad validation churn.,Explicit non-goals; proof bundle; compatibility checks; changed-area validation; closeout registry/doc update.,release-candidate review closure,UDQ-SPRINT-18,No unrelated refactor; no vendor leakage into core; no capability claim beyond the sprint boundary.,"Sprint-specific deliverables exist, focused tests pass or caveats are documented, package closeout evidence is present."
