path,size_bytes,line_count
docs/UDQ-PROT-SPEC-001__Modbus_Integration_Specification__r1__WIP.md,25680,724
docs/UDQ-QUAL-DEF-001__Definition_of_Complete_by_Subsystem__r2__WIP.md,13807,194
docs/UDQ-QUAL-SPEC-002__Implementation_Proof_Model__r0__WIP.md,9736,270
docs/UDQ-REL-SPEC-001__Release_Package_Composition_and_Baseline_Specification__r0__WIP.md,7021,205
docs/UDQ-REL-TPL-001__Release_Manifest_Template__r1__WIP.md,4349,137
docs/UDQ-REL-TPL-002__Release_Notes_and_Update_Summary_Template__r0__WIP.md,2974,128
docs/UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r1__WIP.md,17829,426
docs/UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r4__WIP.md,13505,112
docs/UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r5__WIP.md,14031,103
docs/UDQ-SCM-STD-001__Code_and_Package_Version_Control_Scheme__r0__WIP.md,9136,260
docs/UDQ-SEC-SPEC-001__Roles_Permissions_and_Command_Authorization_Specification__r0__WIP.md,5526,142
docs/UDQ-SEQ-SPEC-001__Sequences_and_Workflows_Specification__r1__WIP.md,20021,511
docs/UDQ-SIG-SPEC-001__Signals_and_Derived_Signals_Specification__r1__WIP.md,25570,654
docs/UDQ-UI-ARCH-001__UI_Functional_Architecture__r1__WIP.md,21501,575
docs/UDQ-UI-INV-001__Genesys_Feature_Inventory_and_Preservation_Map__r2__WIP.md,10479,295
docs/UDQ-UI-MOD-001__UI_State_and_Interaction_Model__r1__WIP.md,25768,422
docs/UDQ-UI-NAR-001__UI_Controls_Philosophy_and_HMI_Doctrine__r1__WIP.md,24538,636
docs/UDQ-UI-SPEC-000__UI_Navigation_and_Shell_Behavior_Specification__r0__WIP.md,2655,60
docs/UDQ-UI-SPEC-001__Workspace_Page_Specifications__r0__WIP.md,3454,86
docs/UDQ-UI-SPEC-002__Widget_Status_and_Visual_Language_Specification__r0__WIP.md,2093,64
docs/UDQ-UI-SPEC-003__Rules_Editor_Visual_and_DSL_Roundtrip_Specification__r0__WIP.md,2102,57
docs/UDQ-UI-SPEC-004__Graphing_History_Review_and_Live_Trace_Specification__r0__WIP.md,2263,59
docs/UDQ-UI-SPEC-005__Remote_UI_Surface_Specification__r0__WIP.md,1937,54
