requirement_id,subsystem,semantic_closure_status,execution_contract_status,invariant_status,worked_example_status,decision_status,implementation_entry_status,intended_module_area,first_implementation_slice
UDQ-REQ-AUD-001,Audit,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-AUD-002,Audit,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-AUD-003,Audit,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-REL-001,Release,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-QUAL-001,Quality,CLOSED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,proof/bundles,later-slice
UDQ-REQ-GOV-001,Governance,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-GOV-002,Governance,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-GOV-003,Governance,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-GOV-004,Governance,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
UDQ-REQ-IMPL-001,Implementation,CLOSED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,tools/traceability + registries/active + audit_reports/active,package-governance
