requirement_id,subsystem,semantic_closure_status,contradiction_status,duplication_status,execution_contract_status,invariant_status,worked_example_status,decision_status,implementation_entry_status,intended_module_area,first_code_slice,proof_expectation
UDQ-REQ-PROF-002,PROF,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/profiles,first-bounded-code-sprint,"profile export, interaction trace"
UDQ-REQ-DEV-001,DEV,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"capability export, diagnostics inventory"
UDQ-REQ-DEV-002,DEV,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/adapters,later-slice,"screenshots, role-based walkthrough"
UDQ-REQ-EXP-001,EXP,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/exports,later-slice,evidence bundle manifest
UDQ-REQ-EXP-002,EXP,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/exports,later-slice,"export package, summary + raw attachments"
UDQ-REQ-SEC-001,SEC,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,CONTRACT_DEFINED,src/universaldaq/security + src/universaldaq/common,follow-on-governed-slice,"denial events, role policy export"
UDQ-REQ-SEC-002,SEC,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,CONTRACT_DEFINED,src/universaldaq/security + src/universaldaq/events,follow-on-governed-slice,command authorization log
UDQ-REQ-UI-001,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/app + src/universaldaq/ui,first-bounded-code-sprint,"screenshots, profile restore evidence"
UDQ-REQ-UI-002,UI,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/ui,later-slice,UI map screenshots
UDQ-REQ-UI-003,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/ui + src/universaldaq/historian,first-bounded-code-sprint,"screenshots, interaction trace"
UDQ-REQ-UI-004,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/ui + src/universaldaq/historian + src/universaldaq/events,first-bounded-code-sprint,"export capture, screenshots"
UDQ-REQ-UI-005,UI,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/ui,later-slice,proof bundle
UDQ-REQ-UI-006,UI,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,COVERED,CLOSED,READY_FOR_IMPLEMENTATION,src/universaldaq/ui + src/universaldaq/common,first-bounded-code-sprint,"screenshot set, style reference"
UDQ-REQ-UI-007,UI,CLOSED,CLOSED,CLASSIFIED,PLANNED,PLANNED,PLANNED,CLOSED,SEMANTICALLY_CLOSED,src/universaldaq/ui,later-slice,"remote screenshots, session log"
UDQ-REQ-AUD-001,AUD,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"audit report, manifest"
UDQ-REQ-AUD-002,AUD,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,scan report
UDQ-REQ-AUD-003,AUD,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"audit report, governed registers"
UDQ-REQ-REL-001,REL,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"manifest, release notes"
UDQ-REQ-QUAL-001,QUAL,CLOSED,CLOSED,CLASSIFIED,DEFINED,PLANNED,PLANNED,CLOSED,CONTRACT_DEFINED,proof/bundles,follow-on-governed-slice,proof bundle
UDQ-REQ-GOV-001,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"registry artifacts, audit report"
UDQ-REQ-GOV-002,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"term-usage matrix, audit report"
UDQ-REQ-GOV-003,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"contradiction register, consistency report"
UDQ-REQ-GOV-004,GOV,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"duplication register, audit report"
UDQ-REQ-IMPL-001,IMPL,CLOSED,CLOSED,CLASSIFIED,DEFINED,DEFINED,NOT_REQUIRED,CLOSED,READY_FOR_IMPLEMENTATION,tools/traceability + registries/active + audit_reports/active,first-bounded-code-sprint,"module-boundary map, audit report"
