document_id,revision,title,status,document_class,filename,path,location_class,is_active_revision,depends_on
UDQ-GOV-SOP-001,r0,Controlled Document Update and Impact Process,WIP,governance_process,UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r0__WIP.md,docs/active/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r0__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-GOV-REG-002
UDQ-GOV-SPEC-002,r4,Machine Readable Document and Cross Reference Scheme,WIP,governance_spec,UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,docs/active/UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002
UDQ-GOV-STD-001,r3,Document Control Scheme,WIP,,UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,docs/active/UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,active,True,[]
UDQ-GOV-STD-002,r0,Semantic Precedence and Term Usage Standard,WIP,governance_standard,UDQ-GOV-STD-002__Semantic_Precedence_and_Term_Usage_Standard__r0__WIP.md,docs/active/UDQ-GOV-STD-002__Semantic_Precedence_and_Term_Usage_Standard__r0__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-GLO-001; UDQ-GOV-MAP-001
UDQ-GOV-STD-003,r0,Active Archive and Package Structure Standard,WIP,governance_standard,UDQ-GOV-STD-003__Active_Archive_and_Package_Structure_Standard__r0__WIP.md,docs/active/UDQ-GOV-STD-003__Active_Archive_and_Package_Structure_Standard__r0__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-REL-SPEC-001
UDQ-HIS-SPEC-001,r2,"Historian, Events, and Evidence Specification",WIP,subsystem_spec,UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r2__WIP.md,docs/active/UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r2__WIP.md,active,True,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-GOV-GLO-001; UDQ-GOV-STD-002
UDQ-HIS-SPEC-001,r1,"Historian, Events, and Evidence Specification",WIP,subsystem_spec,UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r1__WIP.md,docs/archive/UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r1__WIP.md,archive,False,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-SEQ-SPEC-001
UDQ-IMP-MAP-001,r1,Frozen Package Structure and Module Boundary Standard,WIP,implementation_map,UDQ-IMP-MAP-001__Frozen_Package_Structure_and_Module_Boundary_Standard__r1__WIP.md,docs/active/UDQ-IMP-MAP-001__Frozen_Package_Structure_and_Module_Boundary_Standard__r1__WIP.md,active,True,UDQ-GOV-STD-003; UDQ-GOV-STD-002; UDQ-ARCH-NAR-002
UDQ-IMP-MAP-001,r0,Proposed Code Architecture and Module Boundary Map,WIP,implementation_map,UDQ-IMP-MAP-001__Proposed_Code_Architecture_and_Module_Boundary_Map__r0__WIP.md,docs/archive/UDQ-IMP-MAP-001__Proposed_Code_Architecture_and_Module_Boundary_Map__r0__WIP.md,archive,False,UDQ-GOV-MAP-001; UDQ-GOV-STD-002; UDQ-ARCH-NAR-002
UDQ-IMP-PLAN-001,r1,Implementation Transition and Handoff Plan,WIP,implementation_plan,UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r1__WIP.md,docs/active/UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r1__WIP.md,active,True,UDQ-GOV-STD-003; UDQ-IMP-MAP-001; UDQ-REQ-MAT-001; UDQ-GOV-RPT-002
UDQ-IMP-PLAN-001,r0,Implementation Transition and Handoff Plan,WIP,implementation_plan,UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r0__WIP.md,docs/archive/UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r0__WIP.md,archive,False,UDQ-GOV-STD-002; UDQ-GOV-SOP-001; UDQ-REQ-MAT-001; UDQ-IMP-MAP-001
UDQ-LOG-SPEC-001,r2,"Rules, Conditions, and Actions Specification",WIP,subsystem_spec,UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r2__WIP.md,docs/active/UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r2__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-GOV-LOG-001; UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-INV-001; UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-OUT-SPEC-001
UDQ-LOG-SPEC-001,r1,"Rules, Conditions, and Actions Specification",WIP,subsystem_spec,UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r1__WIP.md,docs/archive/UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r1__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-GOV-LOG-001; UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-INV-001
UDQ-OUT-SPEC-001,r2,"Outputs, Command Arbitration, and Safe-State Specification",WIP,subsystem_spec,UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r2__WIP.md,docs/active/UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r2__WIP.md,active,True,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-SEC-SPEC-001
UDQ-OUT-SPEC-001,r1,"Outputs, Command Arbitration, and Safe-State Specification",WIP,subsystem_spec,UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r1__WIP.md,docs/archive/UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r1__WIP.md,archive,False,
UDQ-PROF-SPEC-001,r1,"Profiles, Persistence, Autosave, and Restore Specification",WIP,subsystem_spec,UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r1__WIP.md,docs/active/UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r1__WIP.md,active,True,UDQ-GOV-STD-001; UDQ-REL-SPEC-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001; UDQ-GOV-GLO-001; UDQ-GOV-STD-002
UDQ-PROF-SPEC-001,r0,"Profiles, Persistence, Autosave, and Restore Specification",WIP,,UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r0__WIP.md,docs/archive/UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r0__WIP.md,archive,False,UDQ-GOV-STD-001; UDQ-REL-SPEC-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-PROOF-TPL-001,r0,Implementation Proof Bundle Template,WIP,,UDQ-PROOF-TPL-001__Implementation_Proof_Bundle_Template__r0__WIP.md,docs/active/UDQ-PROOF-TPL-001__Implementation_Proof_Bundle_Template__r0__WIP.md,active,True,UDQ-QUAL-SPEC-002; UDQ-REQ-MAT-001; UDQ-SCM-STD-001; UDQ-GOV-SPEC-002
UDQ-PROT-SPEC-001,r1,Modbus Integration Specification,WIP,subsystem_spec,UDQ-PROT-SPEC-001__Modbus_Integration_Specification__r1__WIP.md,docs/active/UDQ-PROT-SPEC-001__Modbus_Integration_Specification__r1__WIP.md,active,True,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-LOG-SPEC-001; UDQ-OUT-SPEC-001
UDQ-QUAL-DEF-001,r2,Definition of Complete by Subsystem,WIP,,UDQ-QUAL-DEF-001__Definition_of_Complete_by_Subsystem__r2__WIP.md,docs/active/UDQ-QUAL-DEF-001__Definition_of_Complete_by_Subsystem__r2__WIP.md,active,True,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-GOV-STD-001; UDQ-REQ-MAT-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-QUAL-SPEC-002,r0,Implementation Proof Model,WIP,,UDQ-QUAL-SPEC-002__Implementation_Proof_Model__r0__WIP.md,docs/active/UDQ-QUAL-SPEC-002__Implementation_Proof_Model__r0__WIP.md,active,True,UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-GOV-SPEC-002; UDQ-HIS-SPEC-001
UDQ-REL-SPEC-001,r0,Release Package Composition and Baseline Specification,WIP,,UDQ-REL-SPEC-001__Release_Package_Composition_and_Baseline_Specification__r0__WIP.md,docs/active/UDQ-REL-SPEC-001__Release_Package_Composition_and_Baseline_Specification__r0__WIP.md,active,True,UDQ-SCM-STD-001; UDQ-AUD-SPEC-001; UDQ-GOV-LOG-001; UDQ-GOV-SPEC-002
UDQ-REL-TPL-001,r1,Release Manifest Template,WIP,release_template,UDQ-REL-TPL-001__Release_Manifest_Template__r1__WIP.md,docs/active/UDQ-REL-TPL-001__Release_Manifest_Template__r1__WIP.md,active,True,UDQ-REL-SPEC-001; UDQ-SCM-STD-001; UDQ-GOV-SPEC-002
UDQ-REL-TPL-002,r0,Release Notes and Update Summary Template,WIP,,UDQ-REL-TPL-002__Release_Notes_and_Update_Summary_Template__r0__WIP.md,docs/active/UDQ-REL-TPL-002__Release_Notes_and_Update_Summary_Template__r0__WIP.md,active,True,UDQ-REL-SPEC-001; UDQ-SCM-STD-001; UDQ-QUAL-SPEC-002
UDQ-REM-SPEC-001,r2,Remote Observation and Supervision Specification,WIP,subsystem_spec,UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r2__WIP.md,docs/active/UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r2__WIP.md,active,True,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-HIS-SPEC-001; UDQ-LOG-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-SEC-SPEC-001
UDQ-REM-SPEC-001,r1,Remote Observation and Supervision Specification,WIP,subsystem_spec,UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r1__WIP.md,docs/archive/UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r1__WIP.md,archive,False,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-HIS-SPEC-001; UDQ-LOG-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SEQ-SPEC-001
UDQ-REQ-MAT-001,r6,Requirements Traceability Matrix,WIP,requirement_matrix,UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r6__WIP.md,docs/active/UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r6__WIP.md,active,True,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-GOV-STD-003; UDQ-GOV-RPT-002; UDQ-IMP-PLAN-001
UDQ-REQ-MAT-001,r4,Requirements Traceability Matrix,WIP,requirement-matrix,UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r4__WIP.md,docs/archive/UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r4__WIP.md,archive,False,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-LOG-SPEC-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-HIS-SPEC-001; UDQ-REM-SPEC-001; UDQ-EVT-SPEC-001; UDQ-DIAG-SPEC-001; UDQ-PROF-SPEC-001; UDQ-DEV-SPEC-001; UDQ-EXP-SPEC-001; UDQ-SEC-SPEC-001; UDQ-UI-SPEC-000; UDQ-UI-SPEC-001; UDQ-UI-SPEC-002; UDQ-UI-SPEC-003; UDQ-UI-SPEC-004; UDQ-UI-SPEC-005; UDQ-QUAL-SPEC-002; UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002; UDQ-SCM-STD-001; UDQ-REL-SPEC-001
