document_id,revision,title,status,document_class,filename,path,depends_on
UDQ-EXM-SPEC-001,r0,Canonical Worked Examples,WIP,example_spec,UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r0__WIP.md,docs/UDQ-EXM-SPEC-001__Canonical_Worked_Examples__r0__WIP.md,UDQ-GOV-GLO-001; UDQ-GOV-STD-002; UDQ-OUT-SPEC-001; UDQ-PROF-SPEC-001; UDQ-UI-SPEC-004
UDQ-EXP-SPEC-001,r0,"Export, Review, and Evidence Bundle Specification",WIP,,UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,docs/UDQ-EXP-SPEC-001__Export_Review_and_Evidence_Bundle_Specification__r0__WIP.md,UDQ-AUD-SPEC-001; UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-REL-SPEC-001; UDQ-SCM-STD-001
UDQ-GAP-RPT-001,r4,Open Implementation Gaps,WIP,gap_report,UDQ-GAP-RPT-001__Open_Implementation_Gaps__r4__WIP.md,docs/UDQ-GAP-RPT-001__Open_Implementation_Gaps__r4__WIP.md,UDQ-GOV-RPT-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-IMP-PLAN-001
UDQ-GAP-TPL-001,r0,Implementation Gap Assessment Template,WIP,,UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,docs/UDQ-GAP-TPL-001__Implementation_Gap_Assessment_Template__r0__WIP.md,UDQ-GAP-RPT-001; UDQ-QUAL-SPEC-002; UDQ-GOV-SPEC-002
UDQ-GOV-GLO-001,r1,Canonical Glossary and Ontology,WIP,glossary,UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r1__WIP.md,docs/UDQ-GOV-GLO-001__Canonical_Glossary_and_Ontology__r1__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002
UDQ-GOV-LOG-001,r15,Controlled Document Index,WIP,controlled_index,UDQ-GOV-LOG-001__Controlled_Document_Index__r15__WIP.md,docs/UDQ-GOV-LOG-001__Controlled_Document_Index__r15__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-GOV-STD-002
UDQ-GOV-MAP-001,r1,Document Architecture and Dependency Map,WIP,governance-map,UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r1__WIP.md,docs/UDQ-GOV-MAP-001__Document_Architecture_and_Dependency_Map__r1__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002; UDQ-GOV-GLO-001
UDQ-GOV-REG-001,r0,Contradiction and Reconciliation Register,WIP,governance_register,UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r0__WIP.md,docs/UDQ-GOV-REG-001__Contradiction_and_Reconciliation_Register__r0__WIP.md,UDQ-GOV-STD-002; UDQ-GOV-GLO-001; UDQ-GOV-RPT-001
UDQ-GOV-REG-002,r0,Duplication and Consolidation Register,WIP,governance_register,UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r0__WIP.md,docs/UDQ-GOV-REG-002__Duplication_and_Consolidation_Register__r0__WIP.md,UDQ-GOV-STD-002; UDQ-GOV-RPT-001
UDQ-GOV-RPT-001,r3,Cross-Document Consistency Assessment,WIP,governance_report,UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r3__WIP.md,docs/UDQ-GOV-RPT-001__Cross_Document_Consistency_Assessment__r3__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-SPEC-002; UDQ-GOV-GLO-001; UDQ-GOV-LOG-001; UDQ-GOV-MAP-001; UDQ-GOV-REG-001; UDQ-GOV-REG-002
UDQ-GOV-SOP-001,r0,Controlled Document Update and Impact Process,WIP,governance_process,UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r0__WIP.md,docs/UDQ-GOV-SOP-001__Controlled_Document_Update_and_Impact_Process__r0__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-GOV-REG-002
UDQ-GOV-SPEC-002,r4,Machine Readable Document and Cross Reference Scheme,WIP,governance_spec,UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,docs/UDQ-GOV-SPEC-002__Machine_Readable_Document_and_Cross_Reference_Scheme__r4__WIP.md,UDQ-GOV-STD-001; UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002
UDQ-GOV-STD-001,r3,Document Control Scheme,WIP,,UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,docs/UDQ-GOV-STD-001__Document_Control_Scheme__r3__WIP.md,[]
UDQ-GOV-STD-002,r0,Semantic Precedence and Term Usage Standard,WIP,governance_standard,UDQ-GOV-STD-002__Semantic_Precedence_and_Term_Usage_Standard__r0__WIP.md,docs/UDQ-GOV-STD-002__Semantic_Precedence_and_Term_Usage_Standard__r0__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-GLO-001; UDQ-GOV-MAP-001
UDQ-HIS-SPEC-001,r1,"Historian, Events, and Evidence Specification",WIP,subsystem_spec,UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r1__WIP.md,docs/UDQ-HIS-SPEC-001__Historian_Events_and_Evidence_Specification__r1__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-SEQ-SPEC-001
UDQ-IMP-MAP-001,r0,Proposed Code Architecture and Module Boundary Map,WIP,implementation_map,UDQ-IMP-MAP-001__Proposed_Code_Architecture_and_Module_Boundary_Map__r0__WIP.md,docs/UDQ-IMP-MAP-001__Proposed_Code_Architecture_and_Module_Boundary_Map__r0__WIP.md,UDQ-GOV-MAP-001; UDQ-GOV-STD-002; UDQ-ARCH-NAR-002
UDQ-IMP-PLAN-001,r0,Implementation Transition and Handoff Plan,WIP,implementation_plan,UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r0__WIP.md,docs/UDQ-IMP-PLAN-001__Implementation_Transition_and_Handoff_Plan__r0__WIP.md,UDQ-GOV-STD-002; UDQ-GOV-SOP-001; UDQ-REQ-MAT-001; UDQ-IMP-MAP-001
UDQ-LOG-SPEC-001,r1,"Rules, Conditions, and Actions Specification",WIP,subsystem_spec,UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r1__WIP.md,docs/UDQ-LOG-SPEC-001__Rules_Conditions_and_Actions_Specification__r1__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-LOG-001; UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-INV-001
UDQ-OUT-SPEC-001,r1,"Outputs, Command Arbitration, and Safe-State Specification",WIP,subsystem_spec,UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r1__WIP.md,docs/UDQ-OUT-SPEC-001__Outputs_Command_Arbitration_and_Safe_State_Specification__r1__WIP.md,
UDQ-PROF-SPEC-001,r0,"Profiles, Persistence, Autosave, and Restore Specification",WIP,,UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r0__WIP.md,docs/UDQ-PROF-SPEC-001__Profiles_Persistence_Autosave_and_Restore_Specification__r0__WIP.md,UDQ-GOV-STD-001; UDQ-REL-SPEC-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-PROOF-TPL-001,r0,Implementation Proof Bundle Template,WIP,,UDQ-PROOF-TPL-001__Implementation_Proof_Bundle_Template__r0__WIP.md,docs/UDQ-PROOF-TPL-001__Implementation_Proof_Bundle_Template__r0__WIP.md,UDQ-QUAL-SPEC-002; UDQ-REQ-MAT-001; UDQ-SCM-STD-001; UDQ-GOV-SPEC-002
UDQ-PROT-SPEC-001,r1,Modbus Integration Specification,WIP,subsystem_spec,UDQ-PROT-SPEC-001__Modbus_Integration_Specification__r1__WIP.md,docs/UDQ-PROT-SPEC-001__Modbus_Integration_Specification__r1__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-LOG-SPEC-001; UDQ-OUT-SPEC-001
UDQ-QUAL-DEF-001,r2,Definition of Complete by Subsystem,WIP,,UDQ-QUAL-DEF-001__Definition_of_Complete_by_Subsystem__r2__WIP.md,docs/UDQ-QUAL-DEF-001__Definition_of_Complete_by_Subsystem__r2__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-GOV-STD-001; UDQ-REQ-MAT-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-UI-NAR-001
UDQ-QUAL-SPEC-002,r0,Implementation Proof Model,WIP,,UDQ-QUAL-SPEC-002__Implementation_Proof_Model__r0__WIP.md,docs/UDQ-QUAL-SPEC-002__Implementation_Proof_Model__r0__WIP.md,UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-GOV-SPEC-002; UDQ-HIS-SPEC-001
UDQ-REL-SPEC-001,r0,Release Package Composition and Baseline Specification,WIP,,UDQ-REL-SPEC-001__Release_Package_Composition_and_Baseline_Specification__r0__WIP.md,docs/UDQ-REL-SPEC-001__Release_Package_Composition_and_Baseline_Specification__r0__WIP.md,UDQ-SCM-STD-001; UDQ-AUD-SPEC-001; UDQ-GOV-LOG-001; UDQ-GOV-SPEC-002
UDQ-REL-TPL-001,r1,Release Manifest Template,WIP,release_template,UDQ-REL-TPL-001__Release_Manifest_Template__r1__WIP.md,docs/UDQ-REL-TPL-001__Release_Manifest_Template__r1__WIP.md,UDQ-REL-SPEC-001; UDQ-SCM-STD-001; UDQ-GOV-SPEC-002
UDQ-REL-TPL-002,r0,Release Notes and Update Summary Template,WIP,,UDQ-REL-TPL-002__Release_Notes_and_Update_Summary_Template__r0__WIP.md,docs/UDQ-REL-TPL-002__Release_Notes_and_Update_Summary_Template__r0__WIP.md,UDQ-REL-SPEC-001; UDQ-SCM-STD-001; UDQ-QUAL-SPEC-002
UDQ-REM-SPEC-001,r1,Remote Observation and Supervision Specification,WIP,subsystem_spec,UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r1__WIP.md,docs/UDQ-REM-SPEC-001__Remote_Observation_and_Supervision_Specification__r1__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-HIS-SPEC-001; UDQ-LOG-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SEQ-SPEC-001
UDQ-REQ-MAT-001,r5,Requirements Traceability Matrix,WIP,requirement-matrix,UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r5__WIP.md,docs/UDQ-REQ-MAT-001__Requirements_Traceability_Matrix__r5__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-LOG-SPEC-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-PROT-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-HIS-SPEC-001; UDQ-REM-SPEC-001; UDQ-EVT-SPEC-001; UDQ-DIAG-SPEC-001; UDQ-PROF-SPEC-001; UDQ-DEV-SPEC-001; UDQ-EXP-SPEC-001; UDQ-SEC-SPEC-001; UDQ-UI-SPEC-000; UDQ-UI-SPEC-001; UDQ-UI-SPEC-002; UDQ-UI-SPEC-003; UDQ-UI-SPEC-004; UDQ-UI-SPEC-005; UDQ-QUAL-SPEC-002; UDQ-AUD-SPEC-001; UDQ-AUD-SPEC-002; UDQ-SCM-STD-001; UDQ-REL-SPEC-001; UDQ-GOV-STD-002; UDQ-GOV-REG-001; UDQ-GOV-REG-002; UDQ-GOV-SOP-001; UDQ-IMP-PLAN-001; UDQ-IMP-MAP-001
UDQ-SCM-STD-001,r0,Code and Package Version Control Scheme,WIP,,UDQ-SCM-STD-001__Code_and_Package_Version_Control_Scheme__r0__WIP.md,docs/UDQ-SCM-STD-001__Code_and_Package_Version_Control_Scheme__r0__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-SPEC-002; UDQ-QUAL-SPEC-002; UDQ-AUD-SPEC-001
UDQ-SEC-SPEC-001,r0,"Roles, Permissions, and Command Authorization Specification",WIP,,UDQ-SEC-SPEC-001__Roles_Permissions_and_Command_Authorization_Specification__r0__WIP.md,docs/UDQ-SEC-SPEC-001__Roles_Permissions_and_Command_Authorization_Specification__r0__WIP.md,UDQ-GOV-STD-001; UDQ-HIS-SPEC-001; UDQ-OUT-SPEC-001; UDQ-REM-SPEC-001; UDQ-UI-MOD-001
UDQ-SEQ-SPEC-001,r1,Sequences and Workflows Specification,WIP,subsystem_spec,UDQ-SEQ-SPEC-001__Sequences_and_Workflows_Specification__r1__WIP.md,docs/UDQ-SEQ-SPEC-001__Sequences_and_Workflows_Specification__r1__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-LOG-SPEC-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-PROT-SPEC-001
UDQ-SIG-SPEC-001,r1,Signals and Derived Signals Specification,WIP,subsystem_spec,UDQ-SIG-SPEC-001__Signals_and_Derived_Signals_Specification__r1__WIP.md,docs/UDQ-SIG-SPEC-001__Signals_and_Derived_Signals_Specification__r1__WIP.md,UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-LOG-SPEC-001
UDQ-UI-ARCH-001,r1,UI Functional Architecture,WIP,ui_architecture,UDQ-UI-ARCH-001__UI_Functional_Architecture__r1__WIP.md,docs/UDQ-UI-ARCH-001__UI_Functional_Architecture__r1__WIP.md,UDQ-UI-NAR-001; UDQ-UI-INV-001; UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001
UDQ-UI-INV-001,r2,Controlled Document Header,WIP,inventory_map,UDQ-UI-INV-001__Genesys_Feature_Inventory_and_Preservation_Map__r2__WIP.md,docs/UDQ-UI-INV-001__Genesys_Feature_Inventory_and_Preservation_Map__r2__WIP.md,
UDQ-UI-MOD-001,r1,UI State and Interaction Model,WIP,ui_state_model,UDQ-UI-MOD-001__UI_State_and_Interaction_Model__r1__WIP.md,docs/UDQ-UI-MOD-001__UI_State_and_Interaction_Model__r1__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-LOG-001; UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-INV-001; UDQ-UI-NAR-001; UDQ-UI-ARCH-001
UDQ-UI-NAR-001,r1,UI Controls Philosophy and HMI Doctrine,WIP,ui_doctrine,UDQ-UI-NAR-001__UI_Controls_Philosophy_and_HMI_Doctrine__r1__WIP.md,docs/UDQ-UI-NAR-001__UI_Controls_Philosophy_and_HMI_Doctrine__r1__WIP.md,UDQ-GOV-STD-001; UDQ-GOV-LOG-001; UDQ-ARCH-NAR-001; UDQ-ARCH-NAR-002; UDQ-REQ-MAT-001; UDQ-QUAL-DEF-001; UDQ-UI-INV-001; UDQ-UI-ARCH-001
UDQ-UI-SPEC-000,r0,UI Navigation and Shell Behavior Specification,WIP,ui-detail-spec,UDQ-UI-SPEC-000__UI_Navigation_and_Shell_Behavior_Specification__r0__WIP.md,docs/UDQ-UI-SPEC-000__UI_Navigation_and_Shell_Behavior_Specification__r0__WIP.md,UDQ-UI-NAR-001; UDQ-UI-ARCH-001; UDQ-UI-MOD-001; UDQ-PROF-SPEC-001
UDQ-UI-SPEC-001,r0,Workspace Page Specifications,WIP,ui-detail-spec,UDQ-UI-SPEC-001__Workspace_Page_Specifications__r0__WIP.md,docs/UDQ-UI-SPEC-001__Workspace_Page_Specifications__r0__WIP.md,UDQ-UI-ARCH-001; UDQ-UI-SPEC-000; UDQ-DEV-SPEC-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-LOG-SPEC-001; UDQ-SEQ-SPEC-001; UDQ-DIAG-SPEC-001; UDQ-HIS-SPEC-001
UDQ-UI-SPEC-002,r0,Widget Status and Visual Language Specification,WIP,ui-detail-spec,UDQ-UI-SPEC-002__Widget_Status_and_Visual_Language_Specification__r0__WIP.md,docs/UDQ-UI-SPEC-002__Widget_Status_and_Visual_Language_Specification__r0__WIP.md,UDQ-UI-NAR-001; UDQ-UI-MOD-001; UDQ-EVT-SPEC-001; UDQ-DIAG-SPEC-001; UDQ-SEC-SPEC-001
UDQ-UI-SPEC-003,r0,Rules Editor Visual and DSL Roundtrip Specification,WIP,ui-detail-spec,UDQ-UI-SPEC-003__Rules_Editor_Visual_and_DSL_Roundtrip_Specification__r0__WIP.md,docs/UDQ-UI-SPEC-003__Rules_Editor_Visual_and_DSL_Roundtrip_Specification__r0__WIP.md,UDQ-LOG-SPEC-001; UDQ-SIG-SPEC-001; UDQ-OUT-SPEC-001; UDQ-UI-SPEC-001
UDQ-UI-SPEC-004,r0,Graphing History Review and Live Trace Specification,WIP,ui-detail-spec,UDQ-UI-SPEC-004__Graphing_History_Review_and_Live_Trace_Specification__r0__WIP.md,docs/UDQ-UI-SPEC-004__Graphing_History_Review_and_Live_Trace_Specification__r0__WIP.md,UDQ-HIS-SPEC-001; UDQ-EVT-SPEC-001; UDQ-UI-SPEC-001; UDQ-OUT-SPEC-001
UDQ-UI-SPEC-005,r0,Remote UI Surface Specification,WIP,ui-detail-spec,UDQ-UI-SPEC-005__Remote_UI_Surface_Specification__r0__WIP.md,docs/UDQ-UI-SPEC-005__Remote_UI_Surface_Specification__r0__WIP.md,UDQ-REM-SPEC-001; UDQ-SEC-SPEC-001; UDQ-UI-SPEC-001; UDQ-UI-SPEC-002
